Title,English Title,URL,Score,Genre,Season,Studio,Description
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,JoJo's Bizarre Adventure: Stone Ocean Part 3,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,8.62,"Action,Adventure,Supernatural,Shounen",,David Production,"After finally escaping the confines of Green Dolphin Street Jail, Jolyne Kuujou—alongside her companions Ermes Costello and Emporio Alniño—pursues the villainous priest Enrico Pucci across the state of Florida. Jolyne's allies, Weather Report and Narciso Anasui, struggle to catch up with her in order to help bring an end to Pucci's plot. As both parties pursue the priest, they must battle against Pucci's band of enemy Stand users."
Ganbare! Choushuu-kun,,https://myanimelist.net/anime/52815/Ganbare_Choushuu-kun,N/A,Comedy,Summer 2022,Oddjob,"Choushuu-kun, a rambunctious grade schooler, experiences a slightly strange everyday life with his classmates."
Digimon Ghost Game,,https://myanimelist.net/anime/49515/Digimon_Ghost_Game,6.75,"Action,Adventure,Comedy,Fantasy",Fall 2021,Toei Animation,"Sightings of mysterious creatures known as ""Hologram Ghosts"" have been a popular topic on social networks for the past few years. According to the rumors, several people have fallen victim to these specters. Those fortunate to survive their encounters with the paranormal beings claim that they resembled glitched holograms."
Delicious Party♡Precure,Delicious Party Pretty Cure,https://myanimelist.net/anime/50281/Delicious_Party%E2%99%A1Precure,6.98,"Action,Fantasy,Mahou Shoujo",Winter 2022,Toei Animation,"The mysterious, delicious world of CooKingdom, which rules over all the cuisine in this world. CooKingdom has closely guarded the Recipe-Bon, in which it's written how to prepare any dish. But, oh no! One day, it gets stolen by the Bundoru Gang! The Bundoru Gang plans to monopolize everything for themselves, and their next target is the Cuisine Fairy Recipeppi... The Energy Fairies have come to Oishi-Na Town in the human world in search of the Recipe-Bon. With their help, an unexpected turn of events leads to three ordinary girls transforming into Pretty Cures! They stand up to the Bundoru Gang, to recover the Recipe-Bon, and to protect everyone's delicious smiles! "
Isekai Ojisan,Uncle from Another World,https://myanimelist.net/anime/49220/Isekai_Ojisan,7.83,"Comedy,Fantasy,Adult Cast,Isekai,Otaku Culture,Parody",Summer 2022,AtelierPontdarc,"After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities."
Yoru wa Neko to Issho,Nights with a Cat,https://myanimelist.net/anime/51692/Yoru_wa_Neko_to_Issho,7.13,"Comedy,Pets",Summer 2022,Studio PuYUKAI,"Fuuta-kun has never owned a cat before, but his younger sister, Pii-chan, moves into his house with the round gray cat Kyuruga. Inexperienced with cats, Fuuta-kun has no idea what to expect, and each night after he returns home is marked by odd and endearing surprises from his new pet."
Utawarerumono: Futari no Hakuoro,Utawarerumono: Mask of Truth,https://myanimelist.net/anime/40590/Utawarerumono__Futari_no_Hakuoro,7.53,"Action,Drama,Fantasy",Summer 2022,White Fox,"After the events of Mask of Deception, the Yamato Empire is now ruled with an iron fist by a ruthless usurper who seeks to subjugate all before him. It's up to a couple of familiar faces to band together against the might of the Imperial army, and the fate of the world hangs in the balance as nations and generals must pick a side to fight with in this perilous civil war. Secrets will be revealed, friendships will be tested, and battles will be fought. Will peace and order be restored or will victory at any cost be the beginning of the end? "
Zombie Dumb 3,,https://myanimelist.net/anime/55838/Zombie_Dumb_3,N/A,"Comedy,Supernatural,Kids",Fall 2022,ANYZAC,The third season of 
Chickip Dancers 2nd Season,,https://myanimelist.net/anime/53320/Chickip_Dancers_2nd_Season,N/A,Slice of Life,Fall 2022,Fanworks,Second season of 
Pokemon (2019),Pokémon Journeys: The Series,https://myanimelist.net/anime/40351/Pokemon_2019,7.57,"Action,Adventure,Comedy,Fantasy,Kids",Fall 2019,OLM,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers."
Hoshi no Samidare,Lucifer and the Biscuit Hammer,https://myanimelist.net/anime/50891/Hoshi_no_Samidare,5.64,"Action,Adventure,Comedy,Drama,Psychological,Seinen",Summer 2022,NAZ,"College student Yuuhi Amamiya's monotonous life is turned upside down with the appearance of Sir Noi Crezant, a talking lizard claiming to be a knight of justice. Crezant elaborates that the world is in peril—threatened by the mage Animus who wishes to annihilate it with his Biscuit Hammer, an enormous structure suspended in Earth's orbit. As the newly appointed Lizard Knight, Yuuhi must fight alongside other Beast Knights to protect the princess and save the planet from destruction."
Boruto: Naruto Next Generations,,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,6.05,"Action,Adventure,Fantasy,Martial Arts,Shounen",Spring 2017,Pierrot,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja."
I Love Me 2nd Season,,https://myanimelist.net/anime/53408/I_Love_Me_2nd_Season,N/A,Kids,Fall 2022,Oddjob,The second season of 
Alssongdalssong Catch! Tiniping,Secret Catch! Teenieping,https://myanimelist.net/anime/55660/Alssongdalssong_Catch_Tiniping,N/A,"Fantasy,Mahou Shoujo,School",Fall 2022,SAMG Entertainment ,Secret Key teeniepings appear in Harmony Town! And there’s a mysterious secret teenieping too! Will Romi and the new Royal teeniepings be able to catch all the Key Teeniepings scattered in Harmony Town and reveal the identity of the mysterious secret Teenieping?
Punirunes,,https://myanimelist.net/anime/52935/Punirunes,N/A,"Fantasy,Slice of Life,Kids",Fall 2022,OLM Digital,"The anime follows the daily life of PuniRunes—mysterious creatures who love to be coddled—and Yuka, a fourth-grade girl who loves soft, squishy things."
Obake Zukan!,,https://myanimelist.net/anime/52319/Obake_Zukan,N/A,"Comedy,Fantasy,Supernatural,Mythology,Kids",Fall 2022,Fanworks,Second Season of 
Sylvanian Families: Freya no Happy Diary,Calico Critters: Freya's Happy Diary,https://myanimelist.net/anime/52964/Sylvanian_Families__Freya_no_Happy_Diary,N/A,"Slice of Life,Kids",Fall 2022,LandQ studios,A TV series based on the Sylvanian Families toy line.
Reiwa no Di Gi Charat,,https://myanimelist.net/anime/49179/Reiwa_no_Di_Gi_Charat,6.08,Comedy,Fall 2022,LIDENFILMS,New mini anime series for 
Duel Masters Win,,https://myanimelist.net/anime/52460/Duel_Masters_Win,N/A,"Action,Adventure,Comedy,Fantasy,Kids",Fall 2022,Brain's Base,No synopsis information has been added to this title. Help improve our database by adding a synopsis 
Mamekichi Mameko NEET no Nichijou,Mameko Mamekichi's NEET Everyday Life,https://myanimelist.net/anime/53011/Mamekichi_Mameko_NEET_no_Nichijou,N/A,Comedy,Fall 2022,Tezuka Productions,"Mameko is a  NEET (Not in Education, Employment, or Training). She lives with her dog Komachi and her cats Tabi, Simba, and Melo."
Human Bug Daigaku,The Human Crazy University,https://myanimelist.net/anime/53012/Human_Bug_Daigaku,6.73,"Comedy,Mystery,Educational",Fall 2022,DLE,"Satake Hirofumi is a prisoner on death row for murdering his fiancée. He's also an ""Undeadman"" who has survived many desperate situations. For this, he has earned the interest of a research institution called ""Human Crazy University,"" which studies real-life miraculous phenomena and the people who become entangled in them."
Pui Pui Molcar: Driving School,,https://myanimelist.net/anime/51986/Pui_Pui_Molcar__Driving_School,7.16,"Comedy,Anthropomorphic,Racing,Kids",Fall 2022,UchuPeople,New series for 
Megaton-kyuu Musashi 2nd Season,,https://myanimelist.net/anime/50559/Megaton-kyuu_Musashi_2nd_Season,6.47,"Action,Sci-Fi,Mecha,School",Fall 2022,OLM,Second season of 
Eternal Boys,,https://myanimelist.net/anime/51293/Eternal_Boys,6.55,"Slice of Life,Adult Cast,Idols (Male),Music",Fall 2022,LIDENFILMS,"The story follows six middle-aged men who have experienced success and failures in their lives. One day, they decide to become an idol group and overcome such barriers as their age and their physical condition."
Vazzrock The Animation,,https://myanimelist.net/anime/43771/Vazzrock_The_Animation,5.44,"Idols (Male),Music",Fall 2022,PRA,"VAZZY and ROCK DOWN are the two units that make up Tsukino Talent Production's all-male VAZZROCK group. Led by Takaaki Mamiya and Shou Onoda respectively, both units announce via a round-table livestream that they are working hard to prepare for the upcoming VAZZROCK Live Flawless event. From taking extra dancing and singing lessons to starring in a TV period drama, these 12 idols must give it their all as they work toward a spectacular show that will impress their fans."
Meitantei Conan: Hannin no Hanzawa-san,Detective Conan: The Culprit Hanzawa,https://myanimelist.net/anime/50010/Meitantei_Conan__Hannin_no_Hanzawa-san,6.82,"Comedy,Mystery,Shounen",Fall 2022,TMS Entertainment,Anime adaptation of the spin-off manga 
Muv-Luv Alternative 2nd Season,,https://myanimelist.net/anime/50638/Muv-Luv_Alternative_2nd_Season,6.51,"Action,Drama,Sci-Fi,Mecha,Military",Fall 2022,Yumeta Company,"Thanks to Professor Yuuko Kouzuki's technology and Kasumi Yashiro's psychic powers, Cadet Takeru Shirogane travels back to his original world. With no time to lose, Takeru aims to enlist Yuuko's help in his world to complete the Alternative IV project—the last hope humanity has against the BETA, an alien species invading the planet. As the anti-BETA project nears completion, Takeru and other cadets graduate from the Yokohama pilot training academy."
IDOLiSH7 Third Beat! Part 2,,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2,8.33,"Drama,Idols (Male),Music",Fall 2022,TROYCA,"IDOLiSH7 is more successful than ever, but no one is smiling because a new threat has taken the stage: the debuting idol group ŹOOĻ. Managed by the nefarious entertainment executive Ryou Tsukumo, they will stop at nothing to get their way, resorting to all kinds of underhanded tactics to bring down their rivals. TRIGGER's image has already been ruined by scandal, and IDOLiSH7 and Re:vale are headed for the same fate—or worse."
Yowamushi Pedal: Limit Break,,https://myanimelist.net/anime/50552/Yowamushi_Pedal__Limit_Break,7.39,"Sports,Racing,Shounen",Fall 2022,TMS Entertainment,"Unable to achieve the desired results on the first and second days of the Inter-High competition, members of the Souhoku High Bicycle Racing Club use their frustration as motivation to perform better on the final day of the race. However, it is easier said than done as they are up against the overwhelming talent of Hakone Academy and the shrewd strategies of Kyoto Fushimi High."
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,,https://myanimelist.net/anime/52381/Aru_Asa_Dummy_Head_Mic_ni_Natteita_Ore-kun_no_Jinsei,5,"Girls Love,Slice of Life",Fall 2022,EKACHI EPILKA,"After reincarnating into a dummy head microphone, the protagonist gets involved in the lives of high school girls who do ASMR. The comedic anime will follow these high schoolers as they aim for the ASMR Koshien."
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Legend of Mana -The Teardrop Crystal-,https://myanimelist.net/anime/49304/Seiken_Densetsu__Legend_of_Mana_-_The_Teardrop_Crystal,5.48,Adventure,Fall 2022,Graphinica,"Not far from the town of Domina lives Shiloh, a boy who keeps hearing a voice in his dreams about a mission he must fulfill. But what mission could he be needed for remains unknown. That all changes when he meets two Jumi, a race that’s hunted for their unique gemstones, as a sudden outbreak of attacks against the Jumi occurs. His dream, his quest, becomes clear—help the Jumi and their gemstones!"
4-nin wa Sorezore Uso wo Tsuku,The Little Lies We All Tell,https://myanimelist.net/anime/51464/4-nin_wa_Sorezore_Uso_wo_Tsuku,7.15,"Comedy,Supernatural,Gag Humor,School,Super Power,Shounen",Fall 2022,Studio Flad,"What do an alien, former ninja, weak telepath, and boy pretending to be a girl have in common? They are all classmates at Kashihara Girls' Academy, and they hide their true identities from the world. Rikka, Chiyo, Sekine, and Tsubasa seem like the best of friends, but they each harbor a monumental secret that they cannot reveal, no matter what. In order to continue masquerading as normal middle school girls, each of them must invent creative ways to conceal their true selves. But that is easier said than done, as the four students end up entangled in numerous shenanigans along the way."
Poputepipikku 2nd Season,Pop Team Epic Season 2,https://myanimelist.net/anime/50663/Poputepipikku_2nd_Season,7.51,"Comedy,Gag Humor,Parody",Fall 2022,Kamikaze Douga,"High school girl duo Popuko and Pipimi are back and more unhinged than ever after their initial efforts to create a full-fledged anime production were met with a great reception. With no regard for their audience, they continue to live their reckless everyday lives consisting of comedy skits and parodies of epic proportions. No one is immune to the effects of their antics—including hapless live actor Shouta Aoi, who is on the run and stuck trying to be a hero in the wrong series."
